*******************************************************************************
 2014-Sep-09 00:00     4.1191387965E+08   9.847404 -12.319694
 2014-Sep-10 00:00     4.1182200596E+08   9.913522 -12.462265
 2014-Sep-11 00:00     4.1172735659E+08   9.979743 -12.604885
 2014-Sep-12 00:00     4.1162993100E+08  10.046068 -12.747556
 2014-Sep-13 00:00     4.1152972860E+08  10.112501 -12.890279
 2014-Sep-14 00:00     4.1142674880E+08  10.179043 -13.033056
 2014-Sep-15 00:00     4.1132099100E+08  10.245695 -13.175889
 2014-Sep-16 00:00     4.1121245455E+08  10.312461 -13.318780
 2014-Sep-17 00:00     4.1110113883E+08  10.379341 -13.461730
 2014-Sep-18 00:00     4.1098704317E+08  10.446338 -13.604741
 2014-Sep-19 00:00     4.1087016690E+08  10.513455 -13.747816
 2014-Sep-20 00:00     4.1075050933E+08  10.580692 -13.890955
 2014-Sep-21 00:00     4.1062806973E+08  10.648053 -14.034160
 2014-Sep-22 00:00     4.1050284740E+08  10.715538 -14.177434
 2014-Sep-23 00:00     4.1037484158E+08  10.783151 -14.320778
 2014-Sep-24 00:00     4.1024405151E+08  10.850894 -14.464193
 2014-Sep-25 00:00     4.1011047643E+08  10.918768 -14.607682
 2014-Sep-26 00:00     4.0997411554E+08  10.986776 -14.751247
 2014-Sep-27 00:00     4.0983496803E+08  11.054919 -14.894888
 2014-Sep-28 00:00     4.0969303307E+08  11.123201 -15.038608
 2014-Sep-29 00:00     4.0954830982E+08  11.191623 -15.182409
 2014-Sep-30 00:00     4.0940079743E+08  11.260188 -15.326292
 2014-Oct-01 00:00     4.0925049502E+08  11.328897 -15.470260
 2014-Oct-02 00:00     4.0909740170E+08  11.397753 -15.614314
 2014-Oct-03 00:00     4.0894151656E+08  11.466759 -15.758455
 2014-Oct-04 00:00     4.0878283867E+08  11.535916 -15.902686
 2014-Oct-05 00:00     4.0862136711E+08  11.605226 -16.047009
 2014-Oct-06 00:00     4.0845710089E+08  11.674694 -16.191425
 2014-Oct-07 00:00     4.0829003907E+08  11.744319 -16.335935
 2014-Oct-08 00:00     4.0812018064E+08  11.814106 -16.480543
 2014-Oct-09 00:00     4.0794752460E+08  11.884055 -16.625250
 2014-Oct-10 00:00     4.0777206992E+08  11.954171 -16.770057
 2014-Oct-11 00:00     4.0759381557E+08  12.024455 -16.914966
 2014-Oct-12 00:00     4.0741276050E+08  12.094909 -17.059980
 2014-Oct-13 00:00     4.0722890362E+08  12.165536 -17.205100
 2014-Oct-14 00:00     4.0704224385E+08  12.236339 -17.350328
 2014-Oct-15 00:00     4.0685278009E+08  12.307321 -17.495665
 2014-Oct-16 00:00     4.0666051122E+08  12.378483 -17.641114
 2014-Oct-17 00:00     4.0646543610E+08  12.449828 -17.786677
 2014-Oct-18 00:00     4.0626755357E+08  12.521359 -17.932355
 2014-Oct-19 00:00     4.0606686248E+08  12.593078 -18.078151
 2014-Oct-20 00:00     4.0586336162E+08  12.664989 -18.224065
 2014-Oct-21 00:00     4.0565704980E+08  12.737093 -18.370101
 2014-Oct-22 00:00     4.0544792581E+08  12.809394 -18.516259
 2014-Oct-23 00:00     4.0523598840E+08  12.881895 -18.662543
 2014-Oct-24 00:00     4.0502123634E+08  12.954597 -18.808953
 2014-Oct-25 00:00     4.0480366834E+08  13.027504 -18.955491
 2014-Oct-26 00:00     4.0458328314E+08  13.100619 -19.102160
 2014-Oct-27 00:00     4.0436007943E+08  13.173944 -19.248962
 2014-Oct-28 00:00     4.0413405589E+08  13.247483 -19.395898
 2014-Oct-29 00:00     4.0390521121E+08  13.321237 -19.542971
 2014-Oct-30 00:00     4.0367354403E+08  13.395212 -19.690181
 2014-Oct-31 00:00     4.0343905298E+08  13.469408 -19.837532
 2014-Nov-01 00:00     4.0320173670E+08  13.543829 -19.985025
 2014-Nov-02 00:00     4.0296159379E+08  13.618479 -20.132662
 2014-Nov-03 00:00     4.0271862284E+08  13.693360 -20.280446
 2014-Nov-04 00:00     4.0247282242E+08  13.768475 -20.428377
 2014-Nov-05 00:00     4.0222419110E+08  13.843828 -20.576458
 2014-Nov-06 00:00     4.0197272741E+08  13.919422 -20.724692
 2014-Nov-07 00:00     4.0171842989E+08  13.995259 -20.873079
 2014-Nov-08 00:00     4.0146129705E+08  14.071344 -21.021623
 2014-Nov-09 00:00     4.0120132739E+08  14.147679 -21.170324
 2014-Nov-10 00:00     4.0093851938E+08  14.224268 -21.319186
 2014-Nov-11 00:00     4.0067287149E+08  14.301114 -21.468209
 2014-Nov-12 00:00     4.0040438217E+08  14.378220 -21.617397
 2014-Nov-13 00:00     4.0013304986E+08  14.455591 -21.766751
 2014-Nov-14 00:00     3.9985887298E+08  14.533229 -21.916273
 2014-Nov-15 00:00     3.9958184993E+08  14.611137 -22.065965
 2014-Nov-16 00:00     3.9930197910E+08  14.689321 -22.215830
 2014-Nov-17 00:00     3.9901925887E+08  14.767782 -22.365869
 2014-Nov-18 00:00     3.9873368759E+08  14.846526 -22.516084
 2014-Nov-19 00:00     3.9844526361E+08  14.925555 -22.666478
 2014-Nov-20 00:00     3.9815398526E+08  15.004873 -22.817052
 2014-Nov-21 00:00     3.9785985084E+08  15.084484 -22.967809
 2014-Nov-22 00:00     3.9756285867E+08  15.164392 -23.118751
 2014-Nov-23 00:00     3.9726300702E+08  15.244600 -23.269880
 2014-Nov-24 00:00     3.9696029417E+08  15.325114 -23.421198
 2014-Nov-25 00:00     3.9665471836E+08  15.405936 -23.572707
 2014-Nov-26 00:00     3.9634627785E+08  15.487071 -23.724409
 2014-Nov-27 00:00     3.9603497085E+08  15.568522 -23.876307
 2014-Nov-28 00:00     3.9572079558E+08  15.650295 -24.028402
 2014-Nov-29 00:00     3.9540375023E+08  15.732392 -24.180697
 2014-Nov-30 00:00     3.9508383299E+08  15.814819 -24.333194
 2014-Dec-01 00:00     3.9476104202E+08  15.897580 -24.485895
 2014-Dec-02 00:00     3.9443537548E+08  15.980679 -24.638803
 2014-Dec-03 00:00     3.9410683152E+08  16.064120 -24.791919
 2014-Dec-04 00:00     3.9377540825E+08  16.147908 -24.945245
 2014-Dec-05 00:00     3.9344110379E+08  16.232048 -25.098785
 2014-Dec-06 00:00     3.9310391623E+08  16.316544 -25.252539
 2014-Dec-07 00:00     3.9276384367E+08  16.401400 -25.406512
 2014-Dec-08 00:00     3.9242088418E+08  16.486623 -25.560703
 2014-Dec-09 00:00     3.9207503581E+08  16.572215 -25.715117
 2014-Dec-10 00:00     3.9172629660E+08  16.658183 -25.869755
 2014-Dec-11 00:00     3.9137466459E+08  16.744531 -26.024619
 2014-Dec-12 00:00     3.9102013781E+08  16.831264 -26.179712
 2014-Dec-13 00:00     3.9066271424E+08  16.918387 -26.335035
 2014-Dec-14 00:00     3.9030239189E+08  17.005905 -26.490592
 2014-Dec-15 00:00     3.8993916873E+08  17.093825 -26.646385
 2014-Dec-16 00:00     3.8957304274E+08  17.182150 -26.802416
 2014-Dec-17 00:00     3.8920401186E+08  17.270886 -26.958686
 2014-Dec-18 00:00     3.8883207404E+08  17.360039 -27.115200
 2014-Dec-19 00:00     3.8845722721E+08  17.449614 -27.271958
 2014-Dec-20 00:00     3.8807946928E+08  17.539617 -27.428963
 2014-Dec-21 00:00     3.8769879816E+08  17.630054 -27.586218
