*******************************************************************************
 2014-Jul-18 00:00     2.6420761519E+08 355.185594  30.677454
 2014-Jul-19 00:00     2.6456538593E+08 355.330947  30.335497
 2014-Jul-20 00:00     2.6491965737E+08 355.474905  29.994296
 2014-Jul-21 00:00     2.6527042475E+08 355.617499  29.653844
 2014-Jul-22 00:00     2.6561768341E+08 355.758763  29.314131
 2014-Jul-23 00:00     2.6596142882E+08 355.898728  28.975150
 2014-Jul-24 00:00     2.6630165657E+08 356.037425  28.636892
 2014-Jul-25 00:00     2.6663836235E+08 356.174885  28.299349
 2014-Jul-26 00:00     2.6697154198E+08 356.311135  27.962513
 2014-Jul-27 00:00     2.6730119138E+08 356.446205  27.626376
 2014-Jul-28 00:00     2.6762730657E+08 356.580122  27.290928
 2014-Jul-29 00:00     2.6794988367E+08 356.712913  26.956163
 2014-Jul-30 00:00     2.6826891893E+08 356.844604  26.622072
 2014-Jul-31 00:00     2.6858440868E+08 356.975222  26.288646
 2014-Aug-01 00:00     2.6889634933E+08 357.104790  25.955877
 2014-Aug-02 00:00     2.6920473741E+08 357.233334  25.623757
 2014-Aug-03 00:00     2.6950956953E+08 357.360877  25.292277
 2014-Aug-04 00:00     2.6981084240E+08 357.487442  24.961430
 2014-Aug-05 00:00     2.7010855281E+08 357.613053  24.631207
 2014-Aug-06 00:00     2.7040269763E+08 357.737730  24.301599
 2014-Aug-07 00:00     2.7069327382E+08 357.861496  23.972599
 2014-Aug-08 00:00     2.7098027843E+08 357.984371  23.644198
 2014-Aug-09 00:00     2.7126370859E+08 358.106377  23.316388
 2014-Aug-10 00:00     2.7154356148E+08 358.227534  22.989160
 2014-Aug-11 00:00     2.7181983439E+08 358.347860  22.662507
 2014-Aug-12 00:00     2.7209252467E+08 358.467376  22.336421
 2014-Aug-13 00:00     2.7236162974E+08 358.586099  22.010892
 2014-Aug-14 00:00     2.7262714710E+08 358.704050  21.685914
 2014-Aug-15 00:00     2.7288907431E+08 358.821244  21.361477
 2014-Aug-16 00:00     2.7314740900E+08 358.937701  21.037574
 2014-Aug-17 00:00     2.7340214887E+08 359.053438  20.714197
 2014-Aug-18 00:00     2.7365329169E+08 359.168470  20.391337
 2014-Aug-19 00:00     2.7390083527E+08 359.282815  20.068987
 2014-Aug-20 00:00     2.7414477752E+08 359.396489  19.747138
 2014-Aug-21 00:00     2.7438511636E+08 359.509508  19.425782
 2014-Aug-22 00:00     2.7462184981E+08 359.621888  19.104912
 2014-Aug-23 00:00     2.7485497592E+08 359.733643  18.784519
 2014-Aug-24 00:00     2.7508449283E+08 359.844788  18.464595
 2014-Aug-25 00:00     2.7531039870E+08 359.955339  18.145133
 2014-Aug-26 00:00     2.7553269175E+08   0.065309  17.826124
 2014-Aug-27 00:00     2.7575137027E+08   0.174714  17.507561
 2014-Aug-28 00:00     2.7596643259E+08   0.283565  17.189436
 2014-Aug-29 00:00     2.7617787708E+08   0.391878  16.871740
 2014-Aug-30 00:00     2.7638570216E+08   0.499665  16.554467
 2014-Aug-31 00:00     2.7658990633E+08   0.606940  16.237608
 2014-Sep-01 00:00     2.7679048809E+08   0.713716  15.921155
 2014-Sep-02 00:00     2.7698744601E+08   0.820005  15.605101
 2014-Sep-03 00:00     2.7718077870E+08   0.925819  15.289438
 2014-Sep-04 00:00     2.7737048482E+08   1.031172  14.974158
 2014-Sep-05 00:00     2.7755656305E+08   1.136074  14.659253
 2014-Sep-06 00:00     2.7773901214E+08   1.240538  14.344716
 2014-Sep-07 00:00     2.7791783087E+08   1.344576  14.030539
 2014-Sep-08 00:00     2.7809301804E+08   1.448199  13.716715
 2014-Sep-09 00:00     2.7826457251E+08   1.551418  13.403236
 2014-Sep-10 00:00     2.7843249318E+08   1.654245  13.090093
 2014-Sep-11 00:00     2.7859677897E+08   1.756690  12.777281
 2014-Sep-12 00:00     2.7875742885E+08   1.858764  12.464790
 2014-Sep-13 00:00     2.7891444181E+08   1.960478  12.152614
 2014-Sep-14 00:00     2.7906781689E+08   2.061843  11.840745
 2014-Sep-15 00:00     2.7921755315E+08   2.162869  11.529175
 2014-Sep-16 00:00     2.7936364970E+08   2.263565  11.217898
 2014-Sep-17 00:00     2.7950610567E+08   2.363943  10.906904
 2014-Sep-18 00:00     2.7964492022E+08   2.464012  10.596188
 2014-Sep-19 00:00     2.7978009254E+08   2.563783  10.285742
 2014-Sep-20 00:00     2.7991162186E+08   2.663263   9.975558
 2014-Sep-21 00:00     2.8003950743E+08   2.762465   9.665628
 2014-Sep-22 00:00     2.8016374854E+08   2.861396   9.355946
 2014-Sep-23 00:00     2.8028434449E+08   2.960067   9.046504
 2014-Sep-24 00:00     2.8040129462E+08   3.058486   8.737295
 2014-Sep-25 00:00     2.8051459830E+08   3.156663   8.428311
 2014-Sep-26 00:00     2.8062425492E+08   3.254607   8.119545
 2014-Sep-27 00:00     2.8073026390E+08   3.352327   7.810990
 2014-Sep-28 00:00     2.8083262468E+08   3.449832   7.502639
 2014-Sep-29 00:00     2.8093133674E+08   3.547131   7.194483
 2014-Sep-30 00:00     2.8102639956E+08   3.644232   6.886516
 2014-Oct-01 00:00     2.8111781266E+08   3.741145   6.578732
 2014-Oct-02 00:00     2.8120557559E+08   3.837877   6.271121
 2014-Oct-03 00:00     2.8128968791E+08   3.934438   5.963678
 2014-Oct-04 00:00     2.8137014921E+08   4.030836   5.656394
