*******************************************************************************
 2014-Oct-16 00:00     3.5767779419E+08   2.574172   5.379854
 2014-Oct-17 00:00     3.5803456995E+08   2.671331   5.196661
 2014-Oct-18 00:00     3.5838828251E+08   2.768241   5.013815
 2014-Oct-19 00:00     3.5873893335E+08   2.864908   4.831313
 2014-Oct-20 00:00     3.5908652394E+08   2.961335   4.649152
 2014-Oct-21 00:00     3.5943105575E+08   3.057527   4.467326
 2014-Oct-22 00:00     3.5977253024E+08   3.153489   4.285834
 2014-Oct-23 00:00     3.6011094888E+08   3.249225   4.104671
 2014-Oct-24 00:00     3.6044631310E+08   3.344740   3.923835
 2014-Oct-25 00:00     3.6077862437E+08   3.440036   3.743321
 2014-Oct-26 00:00     3.6110788412E+08   3.535120   3.563126
 2014-Oct-27 00:00     3.6143409380E+08   3.629995   3.383247
 2014-Oct-28 00:00     3.6175725483E+08   3.724665   3.203681
 2014-Oct-29 00:00     3.6207736865E+08   3.819134   3.024424
 2014-Oct-30 00:00     3.6239443667E+08   3.913406   2.845473
 2014-Oct-31 00:00     3.6270846030E+08   4.007486   2.666825
 2014-Nov-01 00:00     3.6301944095E+08   4.101377   2.488476
 2014-Nov-02 00:00     3.6332738002E+08   4.195084   2.310422
 2014-Nov-03 00:00     3.6363227890E+08   4.288610   2.132662
 2014-Nov-04 00:00     3.6393413897E+08   4.381958   1.955191
 2014-Nov-05 00:00     3.6423296162E+08   4.475134   1.778007
 2014-Nov-06 00:00     3.6452874819E+08   4.568140   1.601106
 2014-Nov-07 00:00     3.6482150007E+08   4.660981   1.424485
 2014-Nov-08 00:00     3.6511121859E+08   4.753660   1.248141
 2014-Nov-09 00:00     3.6539790511E+08   4.846181   1.072071
 2014-Nov-10 00:00     3.6568156094E+08   4.938548   0.896272
 2014-Nov-11 00:00     3.6596218743E+08   5.030764   0.720740
 2014-Nov-12 00:00     3.6623978588E+08   5.122833   0.545473
 2014-Nov-13 00:00     3.6651435759E+08   5.214759   0.370467
 2014-Nov-14 00:00     3.6678590387E+08   5.306544   0.195720
 2014-Nov-15 00:00     3.6705442600E+08   5.398193   0.021229
 2014-Nov-16 00:00     3.6731992526E+08   5.489709  -0.153010
 2014-Nov-17 00:00     3.6758240292E+08   5.581096  -0.326999
 2014-Nov-18 00:00     3.6784186022E+08   5.672357  -0.500742
 2014-Nov-19 00:00     3.6809829842E+08   5.763495  -0.674241
 2014-Nov-20 00:00     3.6835171875E+08   5.854514  -0.847499
 2014-Nov-21 00:00     3.6860212244E+08   5.945417  -1.020519
 2014-Nov-22 00:00     3.6884951069E+08   6.036208  -1.193304
 2014-Nov-23 00:00     3.6909388472E+08   6.126890  -1.365857
 2014-Nov-24 00:00     3.6933524570E+08   6.217467  -1.538181
 2014-Nov-25 00:00     3.6957359483E+08   6.307940  -1.710278
 2014-Nov-26 00:00     3.6980893327E+08   6.398315  -1.882151
 2014-Nov-27 00:00     3.7004126218E+08   6.488594  -2.053804
 2014-Nov-28 00:00     3.7027058270E+08   6.578780  -2.225239
 2014-Nov-29 00:00     3.7049689597E+08   6.668876  -2.396458
 2014-Nov-30 00:00     3.7072020311E+08   6.758887  -2.567465
 2014-Dec-01 00:00     3.7094050522E+08   6.848814  -2.738262
 2014-Dec-02 00:00     3.7115780341E+08   6.938661  -2.908852
 2014-Dec-03 00:00     3.7137209875E+08   7.028432  -3.079237
 2014-Dec-04 00:00     3.7158339233E+08   7.118129  -3.249421
 2014-Dec-05 00:00     3.7179168521E+08   7.207755  -3.419406
 2014-Dec-06 00:00     3.7199697842E+08   7.297314  -3.589194
 2014-Dec-07 00:00     3.7219927301E+08   7.386809  -3.758789
 2014-Dec-08 00:00     3.7239857000E+08   7.476243  -3.928193
 2014-Dec-09 00:00     3.7259487039E+08   7.565618  -4.097408
 2014-Dec-10 00:00     3.7278817519E+08   7.654939  -4.266438
 2014-Dec-11 00:00     3.7297848538E+08   7.744207  -4.435285
 2014-Dec-12 00:00     3.7316580192E+08   7.833426  -4.603951
 2014-Dec-13 00:00     3.7335012577E+08   7.922599  -4.772439
 2014-Dec-14 00:00     3.7353145788E+08   8.011729  -4.940751
 2014-Dec-15 00:00     3.7370979917E+08   8.100819  -5.108891
 2014-Dec-16 00:00     3.7388515057E+08   8.189872  -5.276860
 2014-Dec-17 00:00     3.7405751298E+08   8.278891  -5.444662
 2014-Dec-18 00:00     3.7422688728E+08   8.367878  -5.612298
 2014-Dec-19 00:00     3.7439327435E+08   8.456838  -5.779771
 2014-Dec-20 00:00     3.7455667505E+08   8.545772  -5.947084
 2014-Dec-21 00:00     3.7471709023E+08   8.634684  -6.114240
 2014-Dec-22 00:00     3.7487452073E+08   8.723577  -6.281239
 2014-Dec-23 00:00     3.7502896735E+08   8.812453  -6.448087
 2014-Dec-24 00:00     3.7518043092E+08   8.901315  -6.614783
 2014-Dec-25 00:00     3.7532891222E+08   8.990168  -6.781332
