*******************************************************************************
 2014-Aug-28 00:00     1.8216500196E+08 105.703435 -32.749164
 2014-Aug-29 00:00     1.8220191855E+08 106.474674 -32.693466
 2014-Aug-30 00:00     1.8223243593E+08 107.244613 -32.633089
 2014-Aug-31 00:00     1.8225655211E+08 108.013228 -32.568049
 2014-Sep-01 00:00     1.8227426547E+08 108.780499 -32.498366
 2014-Sep-02 00:00     1.8228557475E+08 109.546406 -32.424056
 2014-Sep-03 00:00     1.8229047908E+08 110.310931 -32.345138
 2014-Sep-04 00:00     1.8228897793E+08 111.074056 -32.261629
 2014-Sep-05 00:00     1.8228107118E+08 111.835764 -32.173547
 2014-Sep-06 00:00     1.8226675906E+08 112.596040 -32.080909
 2014-Sep-07 00:00     1.8224604217E+08 113.354871 -31.983733
 2014-Sep-08 00:00     1.8221892149E+08 114.112243 -31.882034
 2014-Sep-09 00:00     1.8218539837E+08 114.868144 -31.775831
 2014-Sep-10 00:00     1.8214547453E+08 115.622564 -31.665139
 2014-Sep-11 00:00     1.8209915207E+08 116.375494 -31.549976
 2014-Sep-12 00:00     1.8204643348E+08 117.126925 -31.430357
 2014-Sep-13 00:00     1.8198732162E+08 117.876853 -31.306298
 2014-Sep-14 00:00     1.8192181974E+08 118.625270 -31.177816
 2014-Sep-15 00:00     1.8184993146E+08 119.372173 -31.044926
 2014-Sep-16 00:00     1.8177166081E+08 120.117560 -30.907643
 2014-Sep-17 00:00     1.8168701222E+08 120.861429 -30.765982
 2014-Sep-18 00:00     1.8159599051E+08 121.603780 -30.619958
 2014-Sep-19 00:00     1.8149860090E+08 122.344616 -30.469586
 2014-Sep-20 00:00     1.8139484902E+08 123.083938 -30.314879
 2014-Sep-21 00:00     1.8128474093E+08 123.821752 -30.155851
 2014-Sep-22 00:00     1.8116828309E+08 124.558062 -29.992517
 2014-Sep-23 00:00     1.8104548242E+08 125.292877 -29.824889
 2014-Sep-24 00:00     1.8091634623E+08 126.026204 -29.652979
 2014-Sep-25 00:00     1.8078088231E+08 126.758054 -29.476802
 2014-Sep-26 00:00     1.8063909888E+08 127.488438 -29.296368
 2014-Sep-27 00:00     1.8049100463E+08 128.217369 -29.111689
 2014-Sep-28 00:00     1.8033660870E+08 128.944861 -28.922777
 2014-Sep-29 00:00     1.8017592071E+08 129.670931 -28.729644
 2014-Sep-30 00:00     1.8000895077E+08 130.395594 -28.532298
 2014-Oct-01 00:00     1.7983570948E+08 131.118871 -28.330752
 2014-Oct-02 00:00     1.7965620794E+08 131.840780 -28.125014
 2014-Oct-03 00:00     1.7947045778E+08 132.561344 -27.915094
 2014-Oct-04 00:00     1.7927847114E+08 133.280585 -27.701001
 2014-Oct-05 00:00     1.7908026070E+08 133.998528 -27.482743
 2014-Oct-06 00:00     1.7887583970E+08 134.715199 -27.260329
 2014-Oct-07 00:00     1.7866522193E+08 135.430625 -27.033766
 2014-Oct-08 00:00     1.7844842176E+08 136.144834 -26.803062
 2014-Oct-09 00:00     1.7822545416E+08 136.857858 -26.568222
 2014-Oct-10 00:00     1.7799633469E+08 137.569727 -26.329254
 2014-Oct-11 00:00     1.7776107955E+08 138.280475 -26.086164
 2014-Oct-12 00:00     1.7751970554E+08 138.990136 -25.838956
 2014-Oct-13 00:00     1.7727223014E+08 139.698746 -25.587636
 2014-Oct-14 00:00     1.7701867149E+08 140.406344 -25.332208
 2014-Oct-15 00:00     1.7675904841E+08 141.112968 -25.072676
 2014-Oct-16 00:00     1.7649338042E+08 141.818658 -24.809044
 2014-Oct-17 00:00     1.7622168778E+08 142.523456 -24.541314
 2014-Oct-18 00:00     1.7594399147E+08 143.227406 -24.269490
 2014-Oct-19 00:00     1.7566031324E+08 143.930552 -23.993573
 2014-Oct-20 00:00     1.7537067561E+08 144.632942 -23.713565
 2014-Oct-21 00:00     1.7507510192E+08 145.334622 -23.429468
 2014-Oct-22 00:00     1.7477361633E+08 146.035643 -23.141282
 2014-Oct-23 00:00     1.7446624382E+08 146.736055 -22.849006
 2014-Oct-24 00:00     1.7415301028E+08 147.435911 -22.552643
 2014-Oct-25 00:00     1.7383394247E+08 148.135265 -22.252190
 2014-Oct-26 00:00     1.7350906808E+08 148.834173 -21.947646
 2014-Oct-27 00:00     1.7317841573E+08 149.532690 -21.639011
 2014-Oct-28 00:00     1.7284201504E+08 150.230878 -21.326282
 2014-Oct-29 00:00     1.7249989660E+08 150.928795 -21.009457
 2014-Oct-30 00:00     1.7215209204E+08 151.626504 -20.688534
 2014-Oct-31 00:00     1.7179863406E+08 152.324068 -20.363509
 2014-Nov-01 00:00     1.7143955643E+08 153.021554 -20.034379
 2014-Nov-02 00:00     1.7107489405E+08 153.719027 -19.701140
 2014-Nov-03 00:00     1.7070468295E+08 154.416557 -19.363789
 2014-Nov-04 00:00     1.7032896037E+08 155.114215 -19.022320
 2014-Nov-05 00:00     1.6994776474E+08 155.812072 -18.676730
 2014-Nov-06 00:00     1.6956113578E+08 156.510203 -18.327013
 2014-Nov-07 00:00     1.6916911446E+08 157.208684 -17.973163
