*******************************************************************************
 2014-Oct-22 00:00     1.8493538598E+08 154.467012 -50.239778
 2014-Oct-23 00:00     1.8461899541E+08 155.022555 -49.733964
 2014-Oct-24 00:00     1.8429510484E+08 155.568461 -49.223790
 2014-Oct-25 00:00     1.8396372558E+08 156.105051 -48.709280
 2014-Oct-26 00:00     1.8362486949E+08 156.632634 -48.190450
 2014-Oct-27 00:00     1.8327854898E+08 157.151514 -47.667315
 2014-Oct-28 00:00     1.8292477707E+08 157.661982 -47.139887
 2014-Oct-29 00:00     1.8256356734E+08 158.164325 -46.608170
 2014-Oct-30 00:00     1.8219493404E+08 158.658818 -46.072170
 2014-Oct-31 00:00     1.8181889205E+08 159.145731 -45.531884
 2014-Nov-01 00:00     1.8143545697E+08 159.625323 -44.987310
 2014-Nov-02 00:00     1.8104464508E+08 160.097848 -44.438441
 2014-Nov-03 00:00     1.8064647340E+08 160.563553 -43.885265
 2014-Nov-04 00:00     1.8024095976E+08 161.022676 -43.327770
 2014-Nov-05 00:00     1.7982812275E+08 161.475451 -42.765938
 2014-Nov-06 00:00     1.7940798182E+08 161.922103 -42.199751
 2014-Nov-07 00:00     1.7898055729E+08 162.362852 -41.629185
 2014-Nov-08 00:00     1.7854587040E+08 162.797913 -41.054215
 2014-Nov-09 00:00     1.7810394329E+08 163.227493 -40.474812
 2014-Nov-10 00:00     1.7765479914E+08 163.651796 -39.890946
 2014-Nov-11 00:00     1.7719846212E+08 164.071019 -39.302583
 2014-Nov-12 00:00     1.7673495747E+08 164.485356 -38.709686
 2014-Nov-13 00:00     1.7626431154E+08 164.894994 -38.112215
 2014-Nov-14 00:00     1.7578655183E+08 165.300117 -37.510129
 2014-Nov-15 00:00     1.7530170704E+08 165.700904 -36.903384
 2014-Nov-16 00:00     1.7480980711E+08 166.097531 -36.291932
 2014-Nov-17 00:00     1.7431088330E+08 166.490169 -35.675723
 2014-Nov-18 00:00     1.7380496820E+08 166.878985 -35.054706
 2014-Nov-19 00:00     1.7329209579E+08 167.264144 -34.428825
 2014-Nov-20 00:00     1.7277230153E+08 167.645807 -33.798025
 2014-Nov-21 00:00     1.7224562239E+08 168.024133 -33.162244
 2014-Nov-22 00:00     1.7171209689E+08 168.399276 -32.521422
 2014-Nov-23 00:00     1.7117176523E+08 168.771389 -31.875494
 2014-Nov-24 00:00     1.7062466927E+08 169.140622 -31.224392
 2014-Nov-25 00:00     1.7007085265E+08 169.507124 -30.568048
 2014-Nov-26 00:00     1.6951036086E+08 169.871040 -29.906389
 2014-Nov-27 00:00     1.6894324127E+08 170.232514 -29.239343
 2014-Nov-28 00:00     1.6836954327E+08 170.591689 -28.566831
 2014-Nov-29 00:00     1.6778931826E+08 170.948706 -27.888776
 2014-Nov-30 00:00     1.6720261982E+08 171.303705 -27.205096
 2014-Dec-01 00:00     1.6660950374E+08 171.656823 -26.515707
 2014-Dec-02 00:00     1.6601002811E+08 172.008199 -25.820523
 2014-Dec-03 00:00     1.6540425343E+08 172.357969 -25.119456
 2014-Dec-04 00:00     1.6479224268E+08 172.706270 -24.412415
 2014-Dec-05 00:00     1.6417406143E+08 173.053239 -23.699307
 2014-Dec-06 00:00     1.6354977796E+08 173.399010 -22.980035
 2014-Dec-07 00:00     1.6291946330E+08 173.743721 -22.254502
 2014-Dec-08 00:00     1.6228319142E+08 174.087507 -21.522608
 2014-Dec-09 00:00     1.6164103927E+08 174.430506 -20.784250
 2014-Dec-10 00:00     1.6099308694E+08 174.772855 -20.039323
 2014-Dec-11 00:00     1.6033941777E+08 175.114693 -19.287719
 2014-Dec-12 00:00     1.5968011845E+08 175.456159 -18.529328
 2014-Dec-13 00:00     1.5901527920E+08 175.797395 -17.764040
 2014-Dec-14 00:00     1.5834499384E+08 176.138544 -16.991738
 2014-Dec-15 00:00     1.5766935997E+08 176.479752 -16.212306
 2014-Dec-16 00:00     1.5698847909E+08 176.821164 -15.425627
 2014-Dec-17 00:00     1.5630245677E+08 177.162931 -14.631577
 2014-Dec-18 00:00     1.5561140278E+08 177.505205 -13.830035
 2014-Dec-19 00:00     1.5491543125E+08 177.848143 -13.020875
