*******************************************************************************
 2014-Jul-14 00:00     2.7835982022E+08  53.064872 -68.359426
 2014-Jul-15 00:00     2.7772916909E+08  53.776781 -68.559999
 2014-Jul-16 00:00     2.7709486515E+08  54.504732 -68.758402
 2014-Jul-17 00:00     2.7645691274E+08  55.249102 -68.954516
 2014-Jul-18 00:00     2.7581531641E+08  56.010264 -69.148217
 2014-Jul-19 00:00     2.7517008094E+08  56.788588 -69.339374
 2014-Jul-20 00:00     2.7452121128E+08  57.584442 -69.527854
 2014-Jul-21 00:00     2.7386871265E+08  58.398185 -69.713515
 2014-Jul-22 00:00     2.7321259047E+08  59.230168 -69.896212
 2014-Jul-23 00:00     2.7255285039E+08  60.080733 -70.075794
 2014-Jul-24 00:00     2.7188949831E+08  60.950207 -70.252102
 2014-Jul-25 00:00     2.7122254039E+08  61.838902 -70.424975
 2014-Jul-26 00:00     2.7055198303E+08  62.747112 -70.594242
 2014-Jul-27 00:00     2.6987783289E+08  63.675109 -70.759730
 2014-Jul-28 00:00     2.6920009691E+08  64.623139 -70.921258
 2014-Jul-29 00:00     2.6851878232E+08  65.591422 -71.078640
 2014-Jul-30 00:00     2.6783389660E+08  66.580145 -71.231684
 2014-Jul-31 00:00     2.6714544757E+08  67.589459 -71.380194
 2014-Aug-01 00:00     2.6645344333E+08  68.619476 -71.523967
 2014-Aug-02 00:00     2.6575789228E+08  69.670265 -71.662796
 2014-Aug-03 00:00     2.6505880318E+08  70.741844 -71.796469
 2014-Aug-04 00:00     2.6435618508E+08  71.834184 -71.924770
 2014-Aug-05 00:00     2.6365004741E+08  72.947196 -72.047479
 2014-Aug-06 00:00     2.6294039992E+08  74.080732 -72.164372
 2014-Aug-07 00:00     2.6222725273E+08  75.234580 -72.275224
 2014-Aug-08 00:00     2.6151061634E+08  76.408459 -72.379805
 2014-Aug-09 00:00     2.6079050163E+08  77.602019 -72.477886
 2014-Aug-10 00:00     2.6006691987E+08  78.814833 -72.569234
 2014-Aug-11 00:00     2.5933988273E+08  80.046396 -72.653621
 2014-Aug-12 00:00     2.5860940231E+08  81.296127 -72.730813
 2014-Aug-13 00:00     2.5787549112E+08  82.563360 -72.800584
 2014-Aug-14 00:00     2.5713816214E+08  83.847351 -72.862707
 2014-Aug-15 00:00     2.5639742877E+08  85.147270 -72.916958
 2014-Aug-16 00:00     2.5565330489E+08  86.462210 -72.963121
 2014-Aug-17 00:00     2.5490580488E+08  87.791183 -73.000982
 2014-Aug-18 00:00     2.5415494359E+08  89.133122 -73.030336
 2014-Aug-19 00:00     2.5340073639E+08  90.486890 -73.050983
 2014-Aug-20 00:00     2.5264319915E+08  91.851279 -73.062735
 2014-Aug-21 00:00     2.5188234832E+08  93.225022 -73.065410
 2014-Aug-22 00:00     2.5111820087E+08  94.606790 -73.058840
 2014-Aug-23 00:00     2.5035077436E+08  95.995208 -73.042864
 2014-Aug-24 00:00     2.4958008690E+08  97.388861 -73.017337
 2014-Aug-25 00:00     2.4880615726E+08  98.786297 -72.982124
 2014-Aug-26 00:00     2.4802900478E+08 100.186046 -72.937103
 2014-Aug-27 00:00     2.4724864945E+08 101.586620 -72.882169
