*******************************************************************************
 2014-Nov-28 00:00     2.7224533727E+08  29.933514 -30.281679
 2014-Nov-29 00:00     2.7180284500E+08  30.177383 -30.554162
 2014-Nov-30 00:00     2.7135674651E+08  30.423430 -30.827080
 2014-Dec-01 00:00     2.7090704611E+08  30.671701 -31.100433
 2014-Dec-02 00:00     2.7045374827E+08  30.922241 -31.374219
 2014-Dec-03 00:00     2.6999685758E+08  31.175098 -31.648438
 2014-Dec-04 00:00     2.6953637880E+08  31.430319 -31.923088
 2014-Dec-05 00:00     2.6907231682E+08  31.687953 -32.198168
 2014-Dec-06 00:00     2.6860467668E+08  31.948052 -32.473675
 2014-Dec-07 00:00     2.6813346359E+08  32.210667 -32.749609
 2014-Dec-08 00:00     2.6765868292E+08  32.475850 -33.025965
 2014-Dec-09 00:00     2.6718034018E+08  32.743656 -33.302742
 2014-Dec-10 00:00     2.6669844109E+08  33.014140 -33.579936
 2014-Dec-11 00:00     2.6621299151E+08  33.287359 -33.857544
 2014-Dec-12 00:00     2.6572399748E+08  33.563371 -34.135562
 2014-Dec-13 00:00     2.6523146525E+08  33.842237 -34.413985
 2014-Dec-14 00:00     2.6473540123E+08  34.124016 -34.692809
 2014-Dec-15 00:00     2.6423581204E+08  34.408772 -34.972030
 2014-Dec-16 00:00     2.6373270448E+08  34.696569 -35.251640
 2014-Dec-17 00:00     2.6322608557E+08  34.987473 -35.531635
 2014-Dec-18 00:00     2.6271596252E+08  35.281550 -35.812008
 2014-Dec-19 00:00     2.6220234278E+08  35.578871 -36.092752
 2014-Dec-20 00:00     2.6168523399E+08  35.879506 -36.373859
 2014-Dec-21 00:00     2.6116464404E+08  36.183528 -36.655322
 2014-Dec-22 00:00     2.6064058103E+08  36.491011 -36.937132
