*******************************************************************************
 2014-Sep-22 00:00     1.4855309274E+08 113.624532 -50.462961
 2014-Sep-23 00:00     1.4953105179E+08 114.945601 -50.124759
 2014-Sep-24 00:00     1.5050168863E+08 116.230954 -49.776462
 2014-Sep-25 00:00     1.5146486139E+08 117.481503 -49.418882
 2014-Sep-26 00:00     1.5242043640E+08 118.698194 -49.052780
 2014-Sep-27 00:00     1.5336828778E+08 119.881990 -48.678870
 2014-Sep-28 00:00     1.5430829704E+08 121.033870 -48.297820
 2014-Sep-29 00:00     1.5524035263E+08 122.154817 -47.910256
 2014-Sep-30 00:00     1.5616434962E+08 123.245813 -47.516759
 2014-Oct-01 00:00     1.5708018934E+08 124.307835 -47.117874
 2014-Oct-02 00:00     1.5798777905E+08 125.341848 -46.714107
 2014-Oct-03 00:00     1.5888703160E+08 126.348803 -46.305929
 2014-Oct-04 00:00     1.5977786514E+08 127.329634 -45.893780
 2014-Oct-05 00:00     1.6066020288E+08 128.285256 -45.478065
 2014-Oct-06 00:00     1.6153397275E+08 129.216561 -45.059163
 2014-Oct-07 00:00     1.6239910718E+08 130.124416 -44.637425
 2014-Oct-08 00:00     1.6325554288E+08 131.009668 -44.213175
 2014-Oct-09 00:00     1.6410322058E+08 131.873134 -43.786714
 2014-Oct-10 00:00     1.6494208481E+08 132.715609 -43.358321
 2014-Oct-11 00:00     1.6577208371E+08 133.537859 -42.928252
 2014-Oct-12 00:00     1.6659316885E+08 134.340626 -42.496746
 2014-Oct-13 00:00     1.6740529500E+08 135.124626 -42.064022
 2014-Oct-14 00:00     1.6820842000E+08 135.890548 -41.630283
 2014-Oct-15 00:00     1.6900250457E+08 136.639057 -41.195714
 2014-Oct-16 00:00     1.6978751214E+08 137.370793 -40.760489
 2014-Oct-17 00:00     1.7056340876E+08 138.086372 -40.324764
 2014-Oct-18 00:00     1.7133016287E+08 138.786386 -39.888686
 2014-Oct-19 00:00     1.7208774524E+08 139.471406 -39.452387
