*******************************************************************************
 2014-Sep-27 00:00     2.4503171509E+08 338.548136  30.845717
 2014-Sep-28 00:00     2.4332991995E+08 338.811806  30.603470
 2014-Sep-29 00:00     2.4161967314E+08 339.077860  30.357257
 2014-Sep-30 00:00     2.3990091417E+08 339.346354  30.106971
 2014-Oct-01 00:00     2.3817358225E+08 339.617350  29.852504
 2014-Oct-02 00:00     2.3643761633E+08 339.890911  29.593740
 2014-Oct-03 00:00     2.3469295510E+08 340.167101  29.330563
 2014-Oct-04 00:00     2.3293953707E+08 340.445987  29.062849
 2014-Oct-05 00:00     2.3117730061E+08 340.727641  28.790470
 2014-Oct-06 00:00     2.2940618398E+08 341.012135  28.513295
 2014-Oct-07 00:00     2.2762612544E+08 341.299544  28.231186
 2014-Oct-08 00:00     2.2583706326E+08 341.589948  27.944000
 2014-Oct-09 00:00     2.2403893583E+08 341.883428  27.651587
 2014-Oct-10 00:00     2.2223168173E+08 342.180071  27.353793
 2014-Oct-11 00:00     2.2041523982E+08 342.479964  27.050456
 2014-Oct-12 00:00     2.1858954931E+08 342.783200  26.741409
 2014-Oct-13 00:00     2.1675454991E+08 343.089878  26.426476
 2014-Oct-14 00:00     2.1491018193E+08 343.400096  26.105475
 2014-Oct-15 00:00     2.1305638639E+08 343.713961  25.778216
 2014-Oct-16 00:00     2.1119310518E+08 344.031582  25.444500
 2014-Oct-17 00:00     2.0932028121E+08 344.353076  25.104121
 2014-Oct-18 00:00     2.0743785860E+08 344.678562  24.756861
 2014-Oct-19 00:00     2.0554578282E+08 345.008165  24.402495
 2014-Oct-20 00:00     2.0364400096E+08 345.342020  24.040788
 2014-Oct-21 00:00     2.0173246189E+08 345.680262  23.671491
 2014-Oct-22 00:00     1.9981111656E+08 346.023039  23.294347
 2014-Oct-23 00:00     1.9787991826E+08 346.370501  22.909085
 2014-Oct-24 00:00     1.9593882290E+08 346.722810  22.515423
 2014-Oct-25 00:00     1.9398778937E+08 347.080133  22.113063
 2014-Oct-26 00:00     1.9202677986E+08 347.442648  21.701696
 2014-Oct-27 00:00     1.9005576032E+08 347.810541  21.280996
 2014-Oct-28 00:00     1.8807470086E+08 348.184008  20.850620
 2014-Oct-29 00:00     1.8608357623E+08 348.563256  20.410210
 2014-Oct-30 00:00     1.8408236635E+08 348.948505  19.959389
 2014-Oct-31 00:00     1.8207105695E+08 349.339985  19.497761
 2014-Nov-01 00:00     1.8004964014E+08 349.737941  19.024910
 2014-Nov-02 00:00     1.7801811517E+08 350.142632  18.540398
 2014-Nov-03 00:00     1.7597648920E+08 350.554333  18.043764
 2014-Nov-04 00:00     1.7392477816E+08 350.973333  17.534523
 2014-Nov-05 00:00     1.7186300772E+08 351.399944  17.012164
 2014-Nov-06 00:00     1.6979121437E+08 351.834492  16.476148
 2014-Nov-07 00:00     1.6770944651E+08 352.277329  15.925907
 2014-Nov-08 00:00     1.6561776583E+08 352.728827  15.360842
 2014-Nov-09 00:00     1.6351624869E+08 353.189384  14.780319
 2014-Nov-10 00:00     1.6140498771E+08 353.659426  14.183672
 2014-Nov-11 00:00     1.5928409353E+08 354.139407  13.570192
 2014-Nov-12 00:00     1.5715369675E+08 354.629815  12.939135
 2014-Nov-13 00:00     1.5501395011E+08 355.131172  12.289711
 2014-Nov-14 00:00     1.5286503081E+08 355.644041  11.621084
 2014-Nov-15 00:00     1.5070714327E+08 356.169026  10.932370
 2014-Nov-16 00:00     1.4854052201E+08 356.706780  10.222634
 2014-Nov-17 00:00     1.4636543493E+08 357.258004   9.490885
 2014-Nov-18 00:00     1.4418218701E+08 357.823461   8.736072
 2014-Nov-19 00:00     1.4199112435E+08 358.403975   7.957085
 2014-Nov-20 00:00     1.3979263868E+08 359.000440   7.152743
 2014-Nov-21 00:00     1.3758717240E+08 359.613829   6.321800
 2014-Nov-22 00:00     1.3537522422E+08   0.245203   5.462932
 2014-Nov-23 00:00     1.3315735536E+08   0.895720   4.574738
 2014-Nov-24 00:00     1.3093419655E+08   1.566645   3.655738
 2014-Nov-25 00:00     1.2870645577E+08   2.259369   2.704361
 2014-Nov-26 00:00     1.2647492687E+08   2.975419   1.718950
 2014-Nov-27 00:00     1.2424049915E+08   3.716478   0.697754
 2014-Nov-28 00:00     1.2200416798E+08   4.484406  -0.361070
 2014-Nov-29 00:00     1.1976704660E+08   5.281263  -1.459465
 2014-Nov-30 00:00     1.1753037911E+08   6.109337  -2.599466
 2014-Dec-01 00:00     1.1529555489E+08   6.971177  -3.783206
 2014-Dec-02 00:00     1.1306412508E+08   7.869629  -5.012902
 2014-Dec-03 00:00     1.1083782313E+08   8.807882  -6.290853
