*******************************************************************************
 2014-Jul-10 00:00     4.3771277689E+08 188.972472  19.434110
 2014-Jul-11 00:00     4.3729158623E+08 189.032177  19.561470
 2014-Jul-12 00:00     4.3686781564E+08 189.092091  19.689055
 2014-Jul-13 00:00     4.3644146264E+08 189.152218  19.816870
 2014-Jul-14 00:00     4.3601252471E+08 189.212560  19.944915
 2014-Jul-15 00:00     4.3558099934E+08 189.273120  20.073192
 2014-Jul-16 00:00     4.3514688399E+08 189.333900  20.201704
 2014-Jul-17 00:00     4.3471017610E+08 189.394903  20.330452
 2014-Jul-18 00:00     4.3427087312E+08 189.456131  20.459439
 2014-Jul-19 00:00     4.3382897245E+08 189.517587  20.588666
 2014-Jul-20 00:00     4.3338447150E+08 189.579273  20.718136
 2014-Jul-21 00:00     4.3293736765E+08 189.641192  20.847850
 2014-Jul-22 00:00     4.3248765829E+08 189.703347  20.977810
 2014-Jul-23 00:00     4.3203534077E+08 189.765740  21.108019
 2014-Jul-24 00:00     4.3158041242E+08 189.828375  21.238479
 2014-Jul-25 00:00     4.3112287058E+08 189.891254  21.369192
 2014-Jul-26 00:00     4.3066271256E+08 189.954379  21.500160
 2014-Jul-27 00:00     4.3019993565E+08 190.017755  21.631385
 2014-Jul-28 00:00     4.2973453714E+08 190.081383  21.762869
 2014-Jul-29 00:00     4.2926651430E+08 190.145266  21.894614
 2014-Jul-30 00:00     4.2879586437E+08 190.209408  22.026623
 2014-Jul-31 00:00     4.2832258460E+08 190.273812  22.158898
 2014-Aug-01 00:00     4.2784667221E+08 190.338480  22.291440
 2014-Aug-02 00:00     4.2736812441E+08 190.403416  22.424253
 2014-Aug-03 00:00     4.2688693838E+08 190.468623  22.557338
 2014-Aug-04 00:00     4.2640311131E+08 190.534104  22.690698
 2014-Aug-05 00:00     4.2591664037E+08 190.599863  22.824335
 2014-Aug-06 00:00     4.2542752270E+08 190.665902  22.958251
 2014-Aug-07 00:00     4.2493575544E+08 190.732225  23.092449
 2014-Aug-08 00:00     4.2444133570E+08 190.798835  23.226930
 2014-Aug-09 00:00     4.2394426061E+08 190.865736  23.361698
 2014-Aug-10 00:00     4.2344452724E+08 190.932931  23.496754
 2014-Aug-11 00:00     4.2294213267E+08 191.000424  23.632101
 2014-Aug-12 00:00     4.2243707398E+08 191.068218  23.767741
 2014-Aug-13 00:00     4.2192934821E+08 191.136317  23.903677
 2014-Aug-14 00:00     4.2141895240E+08 191.204724  24.039911
 2014-Aug-15 00:00     4.2090588356E+08 191.273444  24.176446
 2014-Aug-16 00:00     4.2039013871E+08 191.342480  24.313284
 2014-Aug-17 00:00     4.1987171485E+08 191.411835  24.450427
 2014-Aug-18 00:00     4.1935060894E+08 191.481515  24.587878
 2014-Aug-19 00:00     4.1882681797E+08 191.551522  24.725640
 2014-Aug-20 00:00     4.1830033888E+08 191.621860  24.863715
 2014-Aug-21 00:00     4.1777116861E+08 191.692534  25.002105
 2014-Aug-22 00:00     4.1723930410E+08 191.763549  25.140814
 2014-Aug-23 00:00     4.1670474226E+08 191.834907  25.279843
 2014-Aug-24 00:00     4.1616747998E+08 191.906613  25.419196
 2014-Aug-25 00:00     4.1562751416E+08 191.978672  25.558875
 2014-Aug-26 00:00     4.1508484167E+08 192.051088  25.698882
 2014-Aug-27 00:00     4.1453945937E+08 192.123865  25.839221
 2014-Aug-28 00:00     4.1399136412E+08 192.197007  25.979893
 2014-Aug-29 00:00     4.1344055276E+08 192.270521  26.120903
 2014-Aug-30 00:00     4.1288702210E+08 192.344409  26.262252
 2014-Aug-31 00:00     4.1233076896E+08 192.418677  26.403943
 2014-Sep-01 00:00     4.1177179015E+08 192.493330  26.545979
 2014-Sep-02 00:00     4.1121008246E+08 192.568372  26.688362
 2014-Sep-03 00:00     4.1064564265E+08 192.643808  26.831097
 2014-Sep-04 00:00     4.1007846750E+08 192.719644  26.974184
 2014-Sep-05 00:00     4.0950855377E+08 192.795884  27.117628
 2014-Sep-06 00:00     4.0893589820E+08 192.872534  27.261431
 2014-Sep-07 00:00     4.0836049751E+08 192.949599  27.405596
 2014-Sep-08 00:00     4.0778234844E+08 193.027084  27.550126
 2014-Sep-09 00:00     4.0720144770E+08 193.104994  27.695024
 2014-Sep-10 00:00     4.0661779198E+08 193.183336  27.840293
 2014-Sep-11 00:00     4.0603137798E+08 193.262114  27.985936
 2014-Sep-12 00:00     4.0544220237E+08 193.341335  28.131955
 2014-Sep-13 00:00     4.0485026184E+08 193.421005  28.278355
 2014-Sep-14 00:00     4.0425555303E+08 193.501128  28.425137
 2014-Sep-15 00:00     4.0365807261E+08 193.581711  28.572305
 2014-Sep-16 00:00     4.0305781722E+08 193.662761  28.719863
 2014-Sep-17 00:00     4.0245478348E+08 193.744283  28.867812
 2014-Sep-18 00:00     4.0184896803E+08 193.826284  29.016157
 2014-Sep-19 00:00     4.0124036749E+08 193.908770  29.164901
 2014-Sep-20 00:00     4.0062897845E+08 193.991748  29.314046
 2014-Sep-21 00:00     4.0001479753E+08 194.075223  29.463597
 2014-Sep-22 00:00     3.9939782132E+08 194.159204  29.613555
 2014-Sep-23 00:00     3.9877804639E+08 194.243697  29.763925
 2014-Sep-24 00:00     3.9815546934E+08 194.328708  29.914710
 2014-Sep-25 00:00     3.9753008674E+08 194.414245  30.065913
 2014-Sep-26 00:00     3.9690189515E+08 194.500316  30.217538
 2014-Sep-27 00:00     3.9627089112E+08 194.586926  30.369587
 2014-Sep-28 00:00     3.9563707123E+08 194.674085  30.522064
 2014-Sep-29 00:00     3.9500043200E+08 194.761799  30.674974
 2014-Sep-30 00:00     3.9436097000E+08 194.850077  30.828318
 2014-Oct-01 00:00     3.9371868176E+08 194.938925  30.982101
 2014-Oct-02 00:00     3.9307356381E+08 195.028353  31.136325
 2014-Oct-03 00:00     3.9242561269E+08 195.118368  31.290996
 2014-Oct-04 00:00     3.9177482492E+08 195.208978  31.446115
 2014-Oct-05 00:00     3.9112119703E+08 195.300193  31.601687
 2014-Oct-06 00:00     3.9046472555E+08 195.392021  31.757716
 2014-Oct-07 00:00     3.8980540698E+08 195.484469  31.914204
 2014-Oct-08 00:00     3.8914323786E+08 195.577549  32.071156
 2014-Oct-09 00:00     3.8847821469E+08 195.671268  32.228575
 2014-Oct-10 00:00     3.8781033400E+08 195.765636  32.386465
