*******************************************************************************
 2014-Oct-04 00:00     1.7064708597E+08 169.624672 -23.641191
 2014-Oct-05 00:00     1.7040610225E+08 170.092834 -23.023197
 2014-Oct-06 00:00     1.7016050104E+08 170.558024 -22.402089
 2014-Oct-07 00:00     1.6991031137E+08 171.020394 -21.777868
 2014-Oct-08 00:00     1.6965556318E+08 171.480097 -21.150534
 2014-Oct-09 00:00     1.6939628726E+08 171.937280 -20.520083
 2014-Oct-10 00:00     1.6913251533E+08 172.392090 -19.886514
 2014-Oct-11 00:00     1.6886428003E+08 172.844674 -19.249822
 2014-Oct-12 00:00     1.6859161492E+08 173.295177 -18.610003
 2014-Oct-13 00:00     1.6831455455E+08 173.743741 -17.967050
 2014-Oct-14 00:00     1.6803313442E+08 174.190510 -17.320958
 2014-Oct-15 00:00     1.6774739105E+08 174.635625 -16.671718
 2014-Oct-16 00:00     1.6745736197E+08 175.079227 -16.019323
 2014-Oct-17 00:00     1.6716308576E+08 175.521457 -15.363764
 2014-Oct-18 00:00     1.6686460204E+08 175.962455 -14.705030
 2014-Oct-19 00:00     1.6656195154E+08 176.402361 -14.043112
 2014-Oct-20 00:00     1.6625517609E+08 176.841313 -13.378000
 2014-Oct-21 00:00     1.6594431862E+08 177.279453 -12.709681
 2014-Oct-22 00:00     1.6562942325E+08 177.716920 -12.038145
 2014-Oct-23 00:00     1.6531053526E+08 178.153855 -11.363379
 2014-Oct-24 00:00     1.6498770111E+08 178.590398 -10.685372
 2014-Oct-25 00:00     1.6466096851E+08 179.026691 -10.004110
 2014-Oct-26 00:00     1.6433038641E+08 179.462876  -9.319581
 2014-Oct-27 00:00     1.6399600502E+08 179.899097  -8.631773
 2014-Oct-28 00:00     1.6365787586E+08 180.335498  -7.940672
 2014-Oct-29 00:00     1.6331605176E+08 180.772226  -7.246266
 2014-Oct-30 00:00     1.6297058693E+08 181.209428  -6.548541
 2014-Oct-31 00:00     1.6262153693E+08 181.647254  -5.847486
 2014-Nov-01 00:00     1.6226895873E+08 182.085854  -5.143088
 2014-Nov-02 00:00     1.6191291072E+08 182.525384  -4.435334
 2014-Nov-03 00:00     1.6155345278E+08 182.965997  -3.724214
 2014-Nov-04 00:00     1.6119064625E+08 183.407854  -3.009716
 2014-Nov-05 00:00     1.6082455399E+08 183.851115  -2.291829
 2014-Nov-06 00:00     1.6045524041E+08 184.295946  -1.570543
 2014-Nov-07 00:00     1.6008277149E+08 184.742513  -0.845850
