*******************************************************************************
 2014-Nov-19 00:00     6.0191940691E+08  39.317920 -39.148295
 2014-Nov-20 00:00     6.0121856683E+08  39.375681 -39.203567
 2014-Nov-21 00:00     6.0051591020E+08  39.433668 -39.258939
 2014-Nov-22 00:00     5.9981143385E+08  39.491883 -39.314412
 2014-Nov-23 00:00     5.9910513460E+08  39.550327 -39.369987
 2014-Nov-24 00:00     5.9839700925E+08  39.609004 -39.425664
 2014-Nov-25 00:00     5.9768705459E+08  39.667914 -39.481443
 2014-Nov-26 00:00     5.9697526739E+08  39.727059 -39.537325
 2014-Nov-27 00:00     5.9626164439E+08  39.786441 -39.593310
 2014-Nov-28 00:00     5.9554618233E+08  39.846062 -39.649400
 2014-Nov-29 00:00     5.9482887794E+08  39.905923 -39.705593
 2014-Nov-30 00:00     5.9410972791E+08  39.966028 -39.761892
 2014-Dec-01 00:00     5.9338872894E+08  40.026377 -39.818296
 2014-Dec-02 00:00     5.9266587771E+08  40.086973 -39.874806
 2014-Dec-03 00:00     5.9194117085E+08  40.147817 -39.931423
 2014-Dec-04 00:00     5.9121460502E+08  40.208911 -39.988147
 2014-Dec-05 00:00     5.9048617684E+08  40.270258 -40.044978
 2014-Dec-06 00:00     5.8975588291E+08  40.331860 -40.101917
 2014-Dec-07 00:00     5.8902371981E+08  40.393718 -40.158964
 2014-Dec-08 00:00     5.8828968413E+08  40.455835 -40.216121
 2014-Dec-09 00:00     5.8755377242E+08  40.518212 -40.273388
 2014-Dec-10 00:00     5.8681598121E+08  40.580852 -40.330764
 2014-Dec-11 00:00     5.8607630702E+08  40.643757 -40.388251
 2014-Dec-12 00:00     5.8533474636E+08  40.706929 -40.445849
 2014-Dec-13 00:00     5.8459129571E+08  40.770371 -40.503559
 2014-Dec-14 00:00     5.8384595154E+08  40.834084 -40.561382
 2014-Dec-15 00:00     5.8309871031E+08  40.898070 -40.619317
 2014-Dec-16 00:00     5.8234956843E+08  40.962333 -40.677365
