*******************************************************************************
 2014-Jun-13 00:00     2.6757068410E+08 107.102583 -59.548983
 2014-Jun-14 00:00     2.6810314652E+08 107.792376 -59.494338
 2014-Jun-15 00:00     2.6863200003E+08 108.477148 -59.436311
 2014-Jun-16 00:00     2.6915723878E+08 109.156831 -59.374962
 2014-Jun-17 00:00     2.6967885713E+08 109.831360 -59.310351
 2014-Jun-18 00:00     2.7019684962E+08 110.500677 -59.242537
 2014-Jun-19 00:00     2.7071121098E+08 111.164728 -59.171580
 2014-Jun-20 00:00     2.7122193610E+08 111.823464 -59.097538
 2014-Jun-21 00:00     2.7172902004E+08 112.476842 -59.020471
 2014-Jun-22 00:00     2.7223245803E+08 113.124823 -58.940435
 2014-Jun-23 00:00     2.7273224548E+08 113.767374 -58.857489
 2014-Jun-24 00:00     2.7322837792E+08 114.404464 -58.771689
 2014-Jun-25 00:00     2.7372085107E+08 115.036069 -58.683091
 2014-Jun-26 00:00     2.7420966077E+08 115.662169 -58.591753
 2014-Jun-27 00:00     2.7469480301E+08 116.282747 -58.497728
 2014-Jun-28 00:00     2.7517627393E+08 116.897791 -58.401072
 2014-Jun-29 00:00     2.7565406981E+08 117.507293 -58.301838
 2014-Jun-30 00:00     2.7612818705E+08 118.111248 -58.200080
 2014-Jul-01 00:00     2.7659862218E+08 118.709656 -58.095851
 2014-Jul-02 00:00     2.7706537186E+08 119.302520 -57.989201
 2014-Jul-03 00:00     2.7752843287E+08 119.889846 -57.880183
 2014-Jul-04 00:00     2.7798780211E+08 120.471643 -57.768846
 2014-Jul-05 00:00     2.7844347659E+08 121.047923 -57.655240
 2014-Jul-06 00:00     2.7889545345E+08 121.618703 -57.539415
 2014-Jul-07 00:00     2.7934372992E+08 122.184000 -57.421418
 2014-Jul-08 00:00     2.7978830334E+08 122.743836 -57.301296
 2014-Jul-09 00:00     2.8022917115E+08 123.298234 -57.179096
 2014-Jul-10 00:00     2.8066633090E+08 123.847220 -57.054864
 2014-Jul-11 00:00     2.8109978022E+08 124.390822 -56.928644
 2014-Jul-12 00:00     2.8152951686E+08 124.929071 -56.800481
 2014-Jul-13 00:00     2.8195553864E+08 125.461999 -56.670418
 2014-Jul-14 00:00     2.8237784347E+08 125.989640 -56.538496
 2014-Jul-15 00:00     2.8279642936E+08 126.512030 -56.404759
 2014-Jul-16 00:00     2.8321129438E+08 127.029207 -56.269247
 2014-Jul-17 00:00     2.8362243671E+08 127.541210 -56.131999
 2014-Jul-18 00:00     2.8402985459E+08 128.048080 -55.993055
 2014-Jul-19 00:00     2.8443354634E+08 128.549858 -55.852453
 2014-Jul-20 00:00     2.8483351035E+08 129.046589 -55.710231
 2014-Jul-21 00:00     2.8522974509E+08 129.538316 -55.566427
 2014-Jul-22 00:00     2.8562224910E+08 130.025085 -55.421074
 2014-Jul-23 00:00     2.8601102098E+08 130.506942 -55.274210
 2014-Jul-24 00:00     2.8639605940E+08 130.983934 -55.125869
 2014-Jul-25 00:00     2.8677736309E+08 131.456109 -54.976084
 2014-Jul-26 00:00     2.8715493084E+08 131.923516 -54.824888
 2014-Jul-27 00:00     2.8752876151E+08 132.386204 -54.672313
 2014-Jul-28 00:00     2.8789885401E+08 132.844223 -54.518391
 2014-Jul-29 00:00     2.8826520730E+08 133.297623 -54.363153
 2014-Jul-30 00:00     2.8862782041E+08 133.746454 -54.206629
 2014-Jul-31 00:00     2.8898669240E+08 134.190769 -54.048848
 2014-Aug-01 00:00     2.8934182240E+08 134.630617 -53.889839
 2014-Aug-02 00:00     2.8969320958E+08 135.066051 -53.729629
 2014-Aug-03 00:00     2.9004085316E+08 135.497122 -53.568246
 2014-Aug-04 00:00     2.9038475241E+08 135.923882 -53.405716
 2014-Aug-05 00:00     2.9072490662E+08 136.346382 -53.242066
 2014-Aug-06 00:00     2.9106131515E+08 136.764675 -53.077321
 2014-Aug-07 00:00     2.9139397740E+08 137.178813 -52.911505
 2014-Aug-08 00:00     2.9172289279E+08 137.588847 -52.744642
 2014-Aug-09 00:00     2.9204806080E+08 137.994828 -52.576757
 2014-Aug-10 00:00     2.9236948092E+08 138.396809 -52.407870
