*******************************************************************************
 2014-Sep-24 00:00     1.0366665428E+08  73.541374 -65.701404
 2014-Sep-25 00:00     1.0359403524E+08  78.091787 -66.136647
 2014-Sep-26 00:00     1.0354328591E+08  82.781004 -66.434232
 2014-Sep-27 00:00     1.0351448276E+08  87.559167 -66.588341
 2014-Sep-28 00:00     1.0350766883E+08  92.369995 -66.595834
 2014-Sep-29 00:00     1.0352285350E+08  97.154756 -66.456524
 2014-Sep-30 00:00     1.0356001246E+08 101.856678 -66.173196
 2014-Oct-01 00:00     1.0361908781E+08 106.425006 -65.751355
 2014-Oct-02 00:00     1.0369998837E+08 110.818011 -65.198755
 2014-Oct-03 00:00     1.0380259008E+08 115.004599 -64.524804
 2014-Oct-04 00:00     1.0392673659E+08 118.964513 -63.739935
 2014-Oct-05 00:00     1.0407224003E+08 122.687428 -62.855028
 2014-Oct-06 00:00     1.0423888185E+08 126.171364 -61.880934
 2014-Oct-07 00:00     1.0442641385E+08 129.420825 -60.828117
 2014-Oct-08 00:00     1.0463455927E+08 132.444967 -59.706420
 2014-Oct-09 00:00     1.0486301408E+08 135.255992 -58.524927
 2014-Oct-10 00:00     1.0511144825E+08 137.867849 -57.291901
 2014-Oct-11 00:00     1.0537950723E+08 140.295237 -56.014788
 2014-Oct-12 00:00     1.0566681338E+08 142.552902 -54.700240
 2014-Oct-13 00:00     1.0597296757E+08 144.655153 -53.354178
 2014-Oct-14 00:00     1.0629755072E+08 146.615566 -51.981848
 2014-Oct-15 00:00     1.0664012546E+08 148.446811 -50.587891
 2014-Oct-16 00:00     1.0700023777E+08 150.160582 -49.176413
 2014-Oct-17 00:00     1.0737741861E+08 151.767574 -47.751036
 2014-Oct-18 00:00     1.0777118558E+08 153.277518 -46.314965
 2014-Oct-19 00:00     1.0818104456E+08 154.699226 -44.871033
 2014-Oct-20 00:00     1.0860649128E+08 156.040662 -43.421744
 2014-Oct-21 00:00     1.0904701296E+08 157.309004 -41.969318
 2014-Oct-22 00:00     1.0950208975E+08 158.510720 -40.515720
 2014-Oct-23 00:00     1.0997119627E+08 159.651636 -39.062690
 2014-Oct-24 00:00     1.1045380302E+08 160.737002 -37.611773
 2014-Oct-25 00:00     1.1094937774E+08 161.771549 -36.164339
 2014-Oct-26 00:00     1.1145738669E+08 162.759544 -34.721600
 2014-Oct-27 00:00     1.1197729590E+08 163.704844 -33.284632
 2014-Oct-28 00:00     1.1250857232E+08 164.610935 -31.854387
 2014-Oct-29 00:00     1.1305068490E+08 165.480975 -30.431704
 2014-Oct-30 00:00     1.1360310560E+08 166.317829 -29.017326
 2014-Oct-31 00:00     1.1416531032E+08 167.124099 -27.611907
 2014-Nov-01 00:00     1.1473677978E+08 167.902155 -26.216018
 2014-Nov-02 00:00     1.1531700028E+08 168.654156 -24.830160
 2014-Nov-03 00:00     1.1590546446E+08 169.382074 -23.454769
 2014-Nov-04 00:00     1.1650167191E+08 170.087713 -22.090221
 2014-Nov-05 00:00     1.1710512975E+08 170.772729 -20.736839
 2014-Nov-06 00:00     1.1771535317E+08 171.438640 -19.394899
 2014-Nov-07 00:00     1.1833186588E+08 172.086844 -18.064632
 2014-Nov-08 00:00     1.1895420049E+08 172.718629 -16.746229
 2014-Nov-09 00:00     1.1958189885E+08 173.335184 -15.439846
 2014-Nov-10 00:00     1.2021451235E+08 173.937612 -14.145606
 2014-Nov-11 00:00     1.2085160213E+08 174.526932 -12.863604
 2014-Nov-12 00:00     1.2149273932E+08 175.104091 -11.593906
 2014-Nov-13 00:00     1.2213750510E+08 175.669972 -10.336555
 2014-Nov-14 00:00     1.2278549090E+08 176.225397  -9.091573
 2014-Nov-15 00:00     1.2343629841E+08 176.771135  -7.858960
 2014-Nov-16 00:00     1.2408953961E+08 177.307903  -6.638702
 2014-Nov-17 00:00     1.2474483682E+08 177.836377  -5.430765
 2014-Nov-18 00:00     1.2540182263E+08 178.357190  -4.235103
 2014-Nov-19 00:00     1.2606013986E+08 178.870939  -3.051658
 2014-Nov-20 00:00     1.2671944150E+08 179.378187  -1.880358
 2014-Nov-21 00:00     1.2737939058E+08 179.879467  -0.721122
 2014-Nov-22 00:00     1.2803966011E+08 180.375283   0.426138
 2014-Nov-23 00:00     1.2869993290E+08 180.866115   1.561521
 2014-Nov-24 00:00     1.2935990144E+08 181.352419   2.685131
 2014-Nov-25 00:00     1.3001926772E+08 181.834629   3.797078
 2014-Nov-26 00:00     1.3067774309E+08 182.313161   4.897479
 2014-Nov-27 00:00     1.3133504808E+08 182.788415   5.986453
 2014-Nov-28 00:00     1.3199091218E+08 183.260773   7.064124
 2014-Nov-29 00:00     1.3264507368E+08 183.730603   8.130619
 2014-Nov-30 00:00     1.3329727946E+08 184.198261   9.186066
 2014-Dec-01 00:00     1.3394728481E+08 184.664090  10.230597
 2014-Dec-02 00:00     1.3459485320E+08 185.128425  11.264344
 2014-Dec-03 00:00     1.3523975607E+08 185.591588  12.287440
 2014-Dec-04 00:00     1.3588177265E+08 186.053897  13.300020
 2014-Dec-05 00:00     1.3652068973E+08 186.515658  14.302215
 2014-Dec-06 00:00     1.3715630146E+08 186.977174  15.294161
 2014-Dec-07 00:00     1.3778840915E+08 187.438742  16.275990
 2014-Dec-08 00:00     1.3841682107E+08 187.900651  17.247833
 2014-Dec-09 00:00     1.3904135220E+08 188.363191  18.209821
 2014-Dec-10 00:00     1.3966182409E+08 188.826645  19.162083
 2014-Dec-11 00:00     1.4027806463E+08 189.291294  20.104746
 2014-Dec-12 00:00     1.4088990787E+08 189.757417  21.037936
 2014-Dec-13 00:00     1.4149719381E+08 190.225294  21.961774
 2014-Dec-14 00:00     1.4209976822E+08 190.695202  22.876382
 2014-Dec-15 00:00     1.4269748245E+08 191.167418  23.781877
 2014-Dec-16 00:00     1.4329019328E+08 191.642219  24.678375
 2014-Dec-17 00:00     1.4387776269E+08 192.119887  25.565987
 2014-Dec-18 00:00     1.4446005774E+08 192.600700  26.444822
 2014-Dec-19 00:00     1.4503695037E+08 193.084943  27.314986
 2014-Dec-20 00:00     1.4560831723E+08 193.572900  28.176580
 2014-Dec-21 00:00     1.4617403956E+08 194.064862  29.029704
 2014-Dec-22 00:00     1.4673400299E+08 194.561120  29.874452
